Movie Title,Movie Date,Average Rating
"The Good, the Bad and the Ugly",1966,91.0
The Godfather,1972,96.0
Dr. No,1962,81.0
Werckmeister Harmonies,2000,90.0
Scarface,1983,76.0
The Graduate,1967,83.0
The Big Lebowski,1998,78.0
Wall Street,1987,69.0
Reservoir Dogs,1992,84.0
Rain Man,1988,78.0
Once Upon a Time in the West,1968,86.0
Once Upon a Time in America,1984,81.0
The Mission,1986,64.0
Drive,2011,83.0
Vertigo,1958,92.0
The Intouchables,2011,72.0
Django Unchained,2012,84.0
Casino,1995,78.0
Stand by Me,1986,82.0
Pulp Fiction,1994,91.0
Groundhog Day,1993,82.0
In the Heat of the Night,1967,83.0
High Noon,1952,88.0
In the Mood for Love,2000,85.0
Forrest Gump,1994,80.0
Meet Joe Black,1998,53.0
Beverly Hills Cop,1984,74.0
Dumb and Dumber,1994,60.0
Titanic,1997,80.0
Top Gun,1986,59.0
Amélie,2001,80.0
Mean Streets,1973,88.0
Requiem for a Dream,2000,76.0
The Exorcist,1973,81.0
Zodiac,2007,81.0
The Man with the Golden Arm,1955,72.0
Death Rides a Horse,1967,49.0
"Lock, Stock and Two Smoking Barrels",1998,74.0
Singin' in the Rain,1952,94.0
The Straight Story,1999,87.0
Hang 'Em High,1968,74.0
Eyes Wide Shut,1999,72.0
Fallen Angels,1995,81.0
Blood Simple,1984,84.0
Hair,1979,75.0
American Beauty,1999,84.0
Ronin,1998,69.0
"Farewell, My Lovely",1975,71.0
Desperado,1995,64.0
Johnny English,2003,48.0
Psycho,1960,92.0
Jackie Brown,1997,75.0
Mamma Mia!,2008,56.0
A Bronx Tale,1993,85.0
Easy Rider,1969,80.0
Beverly Hills Cop II,1987,53.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,74.0
Taxi Driver,1976,90.0
Magnolia,1999,80.0
The Last of the Mohicans,1992,82.0
8 Mile,2002,74.0
Harry Potter and the Sorcerer's Stone,2001,74.0
Gladiator,2000,76.0
The Wizard of Oz,1939,90.0
"One, Two, Three",1961,81.0
Phantasm,1979,71.0
Midnight Cowboy,1969,81.0
The Magnificent Seven,1960,62.0
The Great Escape,1963,87.0
Manhunter,1986,80.0
The Thomas Crown Affair,1999,70.0
Rocky III,1982,63.0
Gunfight at the O.K. Corral,1957,71.0
A View to a Kill,1985,47.0
Mulholland Drive,2001,82.0
The Third Man,1949,92.0
The Sting,1973,86.0
Kill Bill: Vol. 1,2003,78.0
"Duck, You Sucker!",1971,81.0
Trainspotting,1996,85.0
The Seventh Seal,1957,88.0
Donnie Darko,2001,85.0
The Terminator,1984,88.0
The Color of Money,1986,78.0
Crash,2004,72.0
Boyz n the Hood,1991,83.0
Do the Right Thing,1989,88.0
Coming to America,1988,63.0
Higher Learning,1995,54.0
Glory,1989,83.0
The Mack,1973,62.0
Menace II Society,1993,78.0
Colors,1988,70.0
The Color Purple,1985,79.0
New Jack City,1991,68.0
Super Fly,1972,74.0
Paid in Full,2002,57.0
House Party,1990,78.0
Harlem Nights,1989,32.0
Juice,1992,70.0
Soul Food,1997,73.0
South Central,1992,77.0
What's Love Got to Do with It,1993,82.0
King of New York,1990,69.0
Love & Basketball,2000,75.0
Malcolm X,1992,79.0
Deep Cover,1992,74.0
Class Act,1992,42.0
Hustle & Flow,2005,74.0
Fresh,1994,81.0
Hoodlum,1997,52.0
Bad Boys,1995,50.0
Foxy Brown,1974,57.0
In Too Deep,1999,51.0
CB4,1993,54.0
Major Payne,1995,43.0
Life,1999,62.0
All About the Benjamins,2002,41.0
Krush Groove,1985,48.0
I'm Gonna Git You Sucka,1988,58.0
Amistad,1997,71.0
Selma,2014,84.0
Daddy's Little Girls,2007,44.0
The Wood,1999,61.0
Friday After Next,2002,39.0
Norbit,2007,25.0
The Best Man Holiday,2013,65.0
Poetic Justice,1993,48.0
Brown Sugar,2002,63.0
The Nutty Professor,1996,60.0
Booty Call,1997,44.0
Drumline,2002,68.0
Big Momma's House,2000,38.0
Shaft,1971,59.0
Beauty Shop,2005,49.0
Love Jones,1997,70.0
Waist Deep,2006,41.0
Brooklyn's Finest,2009,51.0
Ricochet,1991,61.0
Trespass,1992,33.0
Bad Boys II,2003,42.0
Eve's Bayou,1997,77.0
Tyler Perry's Why Did I Get Married?,2007,53.0
Barbershop 2: Back in Business,2004,61.0
I Can Do Bad All by Myself,2009,54.0
How Stella Got Her Groove Back,1998,54.0
Next Friday,2000,41.0
Lottery Ticket,2010,45.0
School Daze,1988,56.0
Crooklyn,1994,70.0
Are We There Yet?,2005,28.0
Vampire in Brooklyn,1995,28.0
Johnson Family Vacation,2004,26.0
Love Don't Cost a Thing,2003,34.0
The Honeymooners,2005,25.0
Big Momma's House 2,2006,29.0
Nutty Professor II: The Klumps,2000,36.0
ATL,2006,62.0
Get Rich or Die Tryin',2005,38.0
