Movie Title,Movie Date,Average Rating,Gross,Movie Type
"The Good, the Bad and the Ugly",1966,91.0,25100000,0
The Godfather,1972,96.0,134966411,0
Dr. No,1962,81.0,16067035,0
For a Few Dollars More,1965,82.0,15000000,0
A Fistful of Dollars,1964,81.0,14500000,0
Werckmeister Harmonies,2000,90.0,25461,0
Scarface,1983,76.0,45408703,0
The Graduate,1967,83.0,104945305,0
The Big Lebowski,1998,78.0,18034458,0
Wall Street,1987,69.0,43848069,0
Reservoir Dogs,1992,84.0,2832029,0
Rain Man,1988,78.0,172825435,0
Once Upon a Time in the West,1968,86.0,5321508,0
Once Upon a Time in America,1984,81.0,5321508,0
The Mission,1986,64.0,17218023,0
Drive,2011,83.0,35061555,0
Vertigo,1958,92.0,7705225,0
The Intouchables,2011,72.0,10198820,0
Django Unchained,2012,84.0,162805434,0
Casino,1995,78.0,42512375,0
Stand by Me,1986,82.0,52287414,0
Pulp Fiction,1994,91.0,107928762,0
Groundhog Day,1993,82.0,71073420,0
In the Heat of the Night,1967,83.0,0,0
High Noon,1952,88.0,0,0
In the Mood for Love,2000,85.0,2738980,0
Forrest Gump,1994,80.0,330455270,0
Meet Joe Black,1998,53.0,44619100,0
Beverly Hills Cop,1984,74.0,234760478,0
Dumb and Dumber,1994,60.0,127175374,0
Titanic,1997,80.0,659363944,0
Top Gun,1986,59.0,180258178,0
Amélie,2001,80.0,33225499,0
Mean Streets,1973,88.0,32645,0
Requiem for a Dream,2000,76.0,3635482,0
The Exorcist,1973,81.0,232906145,0
Zodiac,2007,81.0,33080084,0
The Man with the Golden Arm,1955,72.0,0,0
Death Rides a Horse,1967,49.0,0,0
"Lock, Stock and Two Smoking Barrels",1998,74.0,3753929,0
Singin' in the Rain,1952,94.0,1826108,0
The Straight Story,1999,87.0,6203044,0
Hang 'Em High,1968,74.0,11000000,0
Eyes Wide Shut,1999,72.0,55691208,0
Fallen Angels,1995,81.0,163145,0
Blood Simple,1984,84.0,3851855,0
Hair,1979,75.0,15284643,0
American Beauty,1999,84.0,130096601,0
Ronin,1998,69.0,41616262,0
"Farewell, My Lovely",1975,71.0,0,0
Desperado,1995,64.0,25405445,0
Johnny English,2003,48.0,28082366,0
Psycho,1960,92.0,32000000,0
Jackie Brown,1997,75.0,39673162,0
Mamma Mia!,2008,56.0,144169664,0
A Bronx Tale,1993,85.0,17287898,0
Easy Rider,1969,80.0,123276,0
Beverly Hills Cop II,1987,53.0,153665036,0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,74.0,305413918,0
Taxi Driver,1976,90.0,28262574,0
Magnolia,1999,80.0,22455976,0
The Last of the Mohicans,1992,82.0,75505856,0
8 Mile,2002,74.0,116750901,0
Harry Potter and the Sorcerer's Stone,2001,74.0,318087620,0
Gladiator,2000,76.0,187705427,0
The Wizard of Oz,1939,90.0,24438411,0
"One, Two, Three",1961,81.0,0,0
Phantasm,1979,71.0,11988469,0
Midnight Cowboy,1969,81.0,44785053,0
The Magnificent Seven,1960,62.0,93432655,0
The Great Escape,1963,87.0,0,0
Manhunter,1986,80.0,8620929,0
The Thomas Crown Affair,1999,70.0,69305181,0
Rocky III,1982,63.0,125049125,0
Gunfight at the O.K. Corral,1957,71.0,0,0
A View to a Kill,1985,47.0,50327960,0
Mulholland Drive,2001,82.0,7220243,0
The Third Man,1949,92.0,1067364,0
The Sting,1973,86.0,156000000,0
Kill Bill: Vol. 1,2003,78.0,70099045,0
"Duck, You Sucker!",1971,81.0,0,0
Trainspotting,1996,85.0,16491080,0
